Timestamp,Gender,Age,Emotion,Filename
Timestamp,Age,Gender,Confidence,Emotion
2025-10-20 11:47:27,(25-32),Female,0.99,Angry
2025-10-20 11:47:27,(25-32),Female,1.00,Happy
2025-10-20 11:47:27,(25-32),Female,0.97,Sad
2025-10-20 11:47:28,(25-32),Female,0.99,Sad
2025-10-20 11:47:28,(25-32),Female,0.97,Sad
2025-10-20 11:47:28,(25-32),Female,0.90,Happy
2025-10-20 11:47:28,(25-32),Female,0.97,Angry
2025-10-20 11:47:29,(8-12),Female,0.97,Angry
2025-10-20 11:47:29,(25-32),Female,1.00,Surprise
2025-10-20 11:47:29,(25-32),Female,0.96,Neutral
2025-10-20 11:47:29,(25-32),Female,0.99,Angry
2025-10-20 11:47:29,(25-32),Female,0.99,Neutral
2025-10-20 11:47:30,(25-32),Female,1.00,Sad
2025-10-20 11:47:30,(8-12),Female,0.99,Surprise
2025-10-20 11:47:30,(25-32),Female,0.98,Neutral
2025-10-20 11:47:30,(25-32),Uncertain,0.51,Angry
2025-10-20 11:47:30,(25-32),Female,0.96,Sad
2025-10-20 11:47:31,(25-32),Female,0.98,Happy
2025-10-20 11:47:31,(25-32),Male,0.70,Neutral
2025-10-20 11:47:31,(25-32),Uncertain,0.59,Angry
2025-10-20 11:47:31,(25-32),Female,0.90,Happy
2025-10-20 11:47:32,(25-32),Female,0.68,Angry
2025-10-20 11:47:32,(25-32),Male,0.89,Happy
2025-10-20 11:47:32,(38-43),Male,1.00,Angry
2025-10-20 11:47:32,(25-32),Male,0.99,Happy
2025-10-20 11:47:32,(0-2),Male,0.99,Angry
2025-10-20 11:47:33,(0-2),Male,0.98,Happy
2025-10-20 11:47:33,(25-32),Male,0.98,Sad
2025-10-20 11:47:33,(25-32),Male,0.97,Angry
2025-10-20 11:47:33,(0-2),Male,0.91,Surprise
2025-10-20 11:47:33,(25-32),Uncertain,0.56,Happy
2025-10-20 11:47:34,(25-32),Male,0.88,Sad
2025-10-20 11:47:34,(25-32),Male,0.99,Happy
2025-10-20 11:47:34,(25-32),Male,0.99,Sad
2025-10-20 11:47:34,(25-32),Male,0.94,Happy
2025-10-20 11:47:35,(25-32),Male,0.86,Happy
2025-10-20 11:47:35,(25-32),Male,0.72,Surprise
2025-10-20 11:47:35,(25-32),Male,0.88,Surprise
2025-10-20 11:47:35,(25-32),Male,0.92,Angry
2025-10-20 11:47:35,(25-32),Male,0.95,Angry
2025-10-20 11:47:36,(25-32),Female,0.72,Happy
2025-10-20 11:47:36,(25-32),Male,0.61,Neutral
2025-10-20 11:47:36,(25-32),Male,0.93,Neutral
2025-10-20 11:47:36,(38-43),Male,0.98,Surprise
2025-10-20 11:47:36,(25-32),Male,0.85,Surprise
2025-10-20 11:47:37,(25-32),Male,0.91,Surprise
2025-10-20 11:47:37,(25-32),Uncertain,0.59,Neutral
2025-10-20 11:47:37,(25-32),Male,0.66,Neutral
2025-10-20 11:47:37,(25-32),Male,0.84,Surprise
2025-10-20 11:47:37,(25-32),Male,0.98,Neutral
2025-10-20 11:47:37,(38-43),Male,1.00,Sad
2025-10-20 11:47:38,(25-32),Male,1.00,Neutral
2025-10-20 11:47:38,(25-32),Male,0.72,Happy
2025-10-20 11:47:38,(25-32),Male,0.96,Happy
2025-10-20 11:47:38,(25-32),Male,0.96,Sad
2025-10-20 11:47:38,(25-32),Female,0.64,Happy
2025-10-20 11:47:39,(25-32),Male,0.99,Surprise
2025-10-20 11:47:39,(25-32),Male,1.00,Neutral
